15,/home/juseonghan/cis/pa34/OUTPUT/pa3-C-Output.txt
-6.68,-12.49,-43.91	-5.14,-12.69,-45.66	2.34
3.69,20.37,42.09	4.11,16.79,41.32	3.69
12.85,-6.29,40.85	13.08,-9.63,40.97	3.35
33.46,9.87,-22.83	34.58,10.20,-23.36	1.28
23.08,15.25,33.61	22.51,14.96,33.47	0.65
30.13,-7.97,5.00	30.42,-9.78,5.21	1.85
-6.53,1.84,46.92	-5.18,1.98,46.93	1.35
28.93,-11.49,-13.53	30.12,-12.85,-13.14	1.85
-16.94,-17.37,-47.33	-16.45,-18.03,-49.84	2.64
-39.65,2.44,-24.41	-37.48,0.96,-24.43	2.63
13.43,14.40,63.08	13.50,14.40,61.15	1.93
-23.54,-31.67,-33.68	-23.94,-33.95,-34.72	2.54
2.66,-16.65,-23.02	4.96,-17.98,-23.95	2.81
16.51,5.28,-21.35	16.57,5.26,-21.30	0.08
23.89,14.85,30.92	23.44,14.60,30.82	0.52

