15,/home/juseonghan/cis/pa34/OUTPUT/pa3-D-Output.txt
-24.18,-17.34,-47.77	-24.50,-17.81,-48.98	1.34
35.80,11.30,-14.24	37.30,11.54,-14.79	1.61
32.33,4.04,-25.35	34.34,3.88,-26.50	2.31
8.54,-10.12,12.93	9.29,-13.95,14.35	4.15
-26.77,-25.29,-10.16	-26.73,-25.91,-9.43	0.95
17.48,-8.83,10.14	18.47,-12.61,11.10	4.02
-10.16,13.17,36.37	-9.03,13.74,36.01	1.32
2.09,-17.46,-9.17	2.65,-20.75,-7.51	3.73
-8.04,-26.16,-36.20	-5.59,-29.27,-38.50	4.58
-5.85,-0.23,50.37	-3.59,0.53,50.40	2.39
-7.33,-26.98,-19.43	-5.01,-29.78,-18.16	3.85
-42.67,-14.21,-20.66	-40.52,-13.70,-21.31	2.30
22.55,15.41,35.28	22.73,15.51,35.33	0.20
-0.54,-18.56,-10.59	0.01,-22.09,-8.93	3.94
8.39,22.76,29.18	8.44,18.80,28.44	4.03

