15,/home/juseonghan/cis/pa34/OUTPUT/pa3-E-Output.txt
21.60,4.29,54.56	19.20,4.77,54.23	2.47
-28.46,-28.71,-37.19	-30.61,-33.32,-40.02	5.82
-17.23,-20.13,-46.61	-16.57,-21.47,-49.82	3.55
-32.05,6.09,-36.50	-30.40,3.00,-35.03	3.80
-27.62,4.01,-41.89	-26.61,2.18,-39.95	2.86
7.29,7.27,-15.24	7.09,5.60,-13.07	2.75
15.39,-1.69,-22.20	15.29,-1.66,-24.73	2.53
-19.60,5.36,-41.77	-19.42,3.46,-39.59	2.90
25.68,-1.95,24.40	25.44,-1.69,24.28	0.37
14.67,-6.79,22.14	15.38,-11.63,22.71	4.92
-15.79,-10.15,-0.82	-16.51,-11.27,0.08	1.61
-0.20,-6.68,-29.07	-1.68,-7.11,-27.83	1.98
-38.48,-15.68,-40.39	-40.19,-16.08,-41.77	2.24
35.37,14.80,-6.45	31.34,11.85,-6.29	5.01
14.94,-9.77,9.52	16.31,-14.12,10.98	4.78

