15,/home/juseonghan/cis/pa34/OUTPUT/pa3-F-Output.txt
-29.15,-30.40,-19.96	-29.86,-32.39,-19.50	2.16
6.89,-16.38,-15.15	8.95,-23.00,-15.94	6.98
0.08,-7.45,33.21	0.23,-10.85,33.52	3.41
-9.30,-26.80,-36.47	-6.72,-30.99,-38.91	5.49
-39.45,1.51,-20.75	-34.32,-3.20,-22.31	7.14
-6.04,-26.74,-21.52	-2.12,-32.92,-20.71	7.36
22.85,-12.86,-3.14	25.26,-17.65,0.51	6.49
13.51,-17.29,-5.59	13.67,-21.51,-4.53	4.36
27.00,6.33,-30.07	27.09,6.20,-31.16	1.10
-40.22,-6.35,-36.01	-34.92,-4.95,-34.25	5.76
3.16,-11.96,-25.35	5.79,-12.02,-27.74	3.55
0.06,-16.25,-31.72	4.61,-16.54,-31.90	4.56
-11.54,9.79,-21.23	-12.81,6.23,-21.80	3.83
-6.97,4.30,37.15	-3.33,4.75,36.91	3.68
-3.35,-21.21,-35.66	0.98,-24.34,-38.48	6.04

