20,/home/juseonghan/cis/pa34/OUTPUT/pa3-H-Output.txt
2.10,-11.87,8.10	2.39,-10.33,7.94	1.57
-3.03,-5.83,-38.50	-4.32,-6.28,-38.09	1.43
-35.31,-1.16,-41.92	-35.26,-1.23,-41.85	0.11
-12.47,1.41,-43.65	-12.65,1.20,-43.37	0.39
-37.46,-17.65,-12.43	-38.19,-17.99,-11.97	0.93
18.30,-9.78,6.89	17.78,-8.78,6.38	1.25
-4.36,9.08,-9.39	-4.78,10.90,-9.49	1.87
-2.37,-5.65,42.94	-2.28,-5.41,42.95	0.25
20.41,-6.93,14.64	20.20,-6.22,14.47	0.76
29.70,21.24,-0.79	30.00,21.63,-0.81	0.50
13.94,19.32,60.78	15.04,20.94,60.97	1.97
12.37,22.95,28.16	12.37,24.37,28.44	1.44
-31.00,-25.91,-13.80	-30.94,-25.81,-13.86	0.13
22.75,13.61,39.84	22.68,13.57,39.83	0.09
-31.18,-8.38,-7.06	-32.14,-7.53,-6.45	1.42
-21.47,-11.21,-4.21	-21.68,-11.31,-3.86	0.42
-0.35,-14.82,-34.34	-2.06,-14.98,-33.97	1.76
-32.84,8.09,-30.86	-33.50,9.14,-31.21	1.29
18.31,-4.00,43.16	17.69,-3.11,43.18	1.08
-40.02,-14.72,-34.04	-41.13,-14.81,-34.13	1.11

