20,/home/juseonghan/prev_classes/cis1/pa3/OUTPUT/pa3-J-Output.txt
22.64,8.58,49.65	24.02,8.63,49.90	1.40
25.50,15.46,24.08	29.16,17.39,25.34	4.32
10.35,18.88,-11.24	9.91,18.68,-11.52	0.55
-15.75,1.22,1.27	-14.46,0.42,0.87	1.56
-39.63,-12.18,-38.67	-38.25,-12.08,-38.39	1.41
-23.38,12.22,-26.86	-23.70,16.46,-26.41	4.27
-11.07,7.36,9.89	-11.42,7.55,9.86	0.40
36.52,9.43,-13.48	39.08,10.28,-13.83	2.72
25.46,15.28,24.49	29.26,17.28,25.80	4.49
20.68,21.87,21.69	23.74,27.04,23.11	6.18
1.19,-9.85,18.39	1.26,-5.05,17.40	4.90
13.13,26.02,-6.31	12.22,30.96,-8.18	5.36
-23.86,-28.36,-13.57	-23.68,-25.06,-15.86	4.01
31.76,19.44,2.56	35.31,22.95,2.46	4.99
7.99,-7.91,-22.58	7.67,-8.55,-21.74	1.10
-8.56,12.70,38.61	-4.70,14.43,36.00	4.97
-9.74,-0.65,18.40	-5.43,0.18,17.54	4.47
10.26,0.45,63.25	10.26,0.40,62.62	0.63
0.47,23.60,28.11	1.53,29.29,29.18	5.88
-40.91,-14.20,-16.12	-38.94,-13.80,-17.02	2.20

