75,pa4-A-Output.txt
-4.70    20.48    13.41    		-4.77    20.38    13.36    		0.12
-6.80    16.41    12.66    		-6.13    17.36    12.30    		1.22
0.58     4.03     -22.11   		-0.25    4.91     -21.88   		1.23
-30.92   -19.67   -45.02   		-30.48   -21.34   -44.17   		1.93
13.87    15.01    -14.86   		13.62    15.10    -16.42   		1.58
24.24    14.42    30.38    		24.37    14.76    29.17    		1.26
2.24     22.73    9.46     		1.85     22.90    11.21    		1.80
27.46    -9.20    3.15     		26.14    -9.23    3.20     		1.32
1.28     -3.93    -26.18   		1.28     -3.93    -26.18   		0.00
-5.97    0.11     51.09    		-5.97    0.11     51.09    		0.00
22.26    17.71    31.11    		23.24    15.57    32.08    		2.55
-27.15   5.44     -40.76   		-29.31   4.93     -40.32   		2.26
-5.19    24.03    31.74    		-5.29    24.20    30.19    		1.56
7.94     23.34    24.96    		7.58     23.72    22.85    		2.18
-19.58   2.03     -9.11    		-19.83   2.40     -9.82    		0.84
20.58    -16.77   -8.14    		21.00    -16.88   -10.54   		2.44
-8.24    1.19     26.65    		-8.02    -0.59    26.40    		1.80
17.20    -12.76   2.20     		15.84    -12.67   3.37     		1.79
23.39    9.95     43.55    		23.61    8.86     42.85    		1.31
-43.48   -14.45   -25.30   		-43.55   -14.44   -26.35   		1.05
-40.59   0.90     -28.05   		-40.59   0.90     -28.05   		0.00
-8.14    6.74     32.84    		-8.14    6.74     32.84    		0.00
-15.05   -31.46   -31.01   		-15.39   -31.25   -32.32   		1.37
-32.64   -14.87   -7.81    		-32.82   -15.02   -7.88    		0.24
34.24    15.90    -2.41    		35.18    14.97    -3.19    		1.54
-5.65    -1.47    62.04    		-5.68    0.09     62.16    		1.56
20.84    -4.75    26.74    		20.84    -4.75    26.74    		0.00
0.67     1.72     -24.02   		0.66     1.72     -24.02   		0.00
2.65     18.62    55.55    		2.65     18.62    55.55    		0.00
38.41    3.46     -12.47   		38.50    3.30     -12.27   		0.27
-7.74    -19.86   -9.50    		-8.57    -20.69   -9.69    		1.19
-39.98   -20.27   -32.72   		-39.62   -20.68   -33.04   		0.63
22.16    10.01    51.79    		22.16    10.01    51.79    		0.00
-13.93   10.90    -27.53   		-14.83   11.11    -28.65   		1.45
28.01    13.40    19.85    		28.20    11.29    21.29    		2.56
14.51    -16.64   -11.29   		14.51    -16.64   -11.29   		0.00
-6.81    3.30     37.77    		-6.86    3.24     36.91    		0.87
0.02     17.10    59.60    		0.02     17.10    59.60    		0.00
-8.15    8.20     -14.13   		-8.18    8.19     -14.13   		0.02
-22.67   4.74     -13.64   		-22.85   3.75     -13.33   		1.05
32.32    6.64     -25.70   		32.32    6.64     -25.70   		0.00
20.50    13.40    57.69    		21.06    11.52    58.07    		1.99
3.02     19.89    2.97     		2.53     18.27    2.47     		1.76
-9.78    7.20     -7.63    		-9.78    7.20     -7.63    		0.00
21.09    10.05    60.70    		21.26    10.29    58.91    		1.81
21.03    10.20    60.74    		21.12    10.60    59.50    		1.31
37.80    -1.22    -6.68    		36.17    -2.81    -6.49    		2.28
8.49     19.42    -8.46    		9.02     18.60    -9.52    		1.44
-40.94   -12.81   -15.59   		-40.84   -14.76   -16.23   		2.05
14.28    19.92    55.57    		14.29    19.73    56.64    		1.09
-33.82   8.05     -27.38   		-33.14   8.07     -29.68   		2.39
6.16     25.03    7.81     		5.61     24.52    7.34     		0.88
-6.44    -23.24   -37.95   		-7.32    -24.68   -37.31   		1.81
-13.15   -21.50   -44.18   		-13.15   -21.50   -44.18   		0.00
-15.56   8.23     -38.46   		-15.68   9.61     -36.39   		2.49
-14.85   21.55    27.19    		-14.85   21.55    27.19    		0.00
-19.12   11.26    -33.73   		-19.12   11.26    -33.73   		0.00
12.18    23.31    -11.98   		12.92    23.69    -12.04   		0.83
-0.12    -11.82   -31.72   		-0.16    -11.26   -31.45   		0.63
30.40    20.53    -3.75    		31.33    19.53    -2.82    		1.65
-43.87   -10.51   -23.71   		-43.87   -10.51   -23.71   		0.00
-33.16   -19.50   -9.44    		-34.19   -20.26   -10.87   		1.92
32.30    -6.39    -21.95   		31.21    -6.14    -23.42   		1.85
-9.26    -11.86   -46.27   		-10.47   -11.01   -46.94   		1.62
-20.19   -10.60   -49.52   		-20.51   -11.19   -49.51   		0.67
-27.14   4.77     -14.20   		-27.32   4.98     -14.27   		0.28
38.28    0.24     7.10     		38.28    0.24     7.10     		0.00
35.04    0.38     -21.15   		34.12    0.15     -22.55   		1.69
0.82     18.86    48.89    		1.16     18.90    49.08    		0.39
23.62    -11.98   -21.38   		22.47    -12.81   -20.85   		1.52
-3.05    -15.99   -39.47   		-3.74    -16.95   -39.63   		1.19
-6.15    15.37    10.87    		-6.15    15.37    10.87    		0.00
15.42    11.28    63.18    		15.42    11.28    63.18    		0.00
25.81    6.06     32.48    		26.21    6.50     30.85    		1.74
-39.96   1.75     -29.27   		-39.69   2.10     -29.52   		0.51

