200,pa4-B-Output.txt
5.75     -0.99    63.33    		5.68     -3.80    62.42    		2.95
-38.79   -16.53   -39.51   		-38.20   -16.17   -42.07   		2.65
27.35    20.61    11.98    		27.12    20.26    11.82    		0.45
-33.47   -28.11   -20.85   		-33.92   -27.12   -20.42   		1.18
20.85    -1.98    -24.26   		22.57    -2.61    -27.38   		3.62
16.95    23.91    17.60    		17.22    24.91    14.84    		2.95
-6.32    -10.94   5.25     		-5.35    -9.85    6.34     		1.82
-27.97   10.90    -23.36   		-28.49   12.10    -24.72   		1.89
-8.83    19.33    14.86    		-10.96   17.47    13.87    		2.99
-28.30   -30.79   -32.82   		-29.21   -30.23   -31.93   		1.40
38.32    3.05     -12.75   		37.72    5.35     -12.65   		2.37
35.10    -0.45    -21.05   		33.63    -1.55    -21.18   		1.83
38.16    -0.40    2.95     		36.34    -0.88    3.62     		1.99
-30.80   -29.76   -32.57   		-32.26   -28.71   -32.44   		1.80
20.00    26.22    -5.71    		21.03    26.55    -5.66    		1.09
-6.92    -3.09    30.26    		-7.89    -0.90    30.30    		2.40
-7.49    -7.58    14.32    		-5.36    -8.64    12.64    		2.91
-8.52    23.27    33.47    		-9.42    22.79    34.55    		1.48
-21.13   -2.82    -5.71    		-22.74   -4.93    -5.67    		2.66
-23.54   -29.51   -15.21   		-21.99   -28.50   -15.68   		1.92
-31.05   9.24     -30.83   		-31.47   9.58     -33.78   		3.00
0.72     19.39    46.66    		-2.14    19.45    45.66    		3.02
9.35     -5.64    -22.20   		7.90     -5.82    -22.85   		1.60
-27.38   -19.54   -7.14    		-27.13   -21.38   -8.90    		2.56
-7.22    -24.83   -16.32   		-8.33    -24.34   -17.98   		2.05
-22.10   -12.61   -49.03   		-22.10   -13.53   -48.97   		0.92
-6.47    9.17     55.19    		-8.04    7.77     57.16    		2.88
-7.01    3.25     -35.91   		-6.98    3.27     -35.93   		0.04
35.88    -0.60    -18.48   		34.56    -0.41    -19.96   		1.99
2.09     19.62    45.84    		1.01     20.61    44.31    		2.12
22.00    6.16     54.30    		20.88    8.85     54.52    		2.92
-10.10   12.98    36.27    		-9.90    12.88    36.56    		0.36
0.77     20.54    40.68    		1.19     21.42    40.89    		0.99
9.54     -6.52    36.33    		9.60     -5.38    33.46    		3.08
34.45    2.14     12.83    		34.59    1.38     10.35    		2.60
23.39    20.87    -25.41   		23.73    21.21    -25.78   		0.62
13.46    23.37    24.21    		15.10    24.17    21.27    		3.46
-5.84    11.01    60.24    		-7.56    10.12    58.85    		2.38
-5.74    -23.01   -37.19   		-6.81    -23.60   -36.03   		1.69
-36.50   -15.72   -10.15   		-36.24   -15.54   -10.48   		0.46
-3.53    17.28    46.49    		-5.13    17.17    45.96    		1.69
-36.26   -20.77   -39.53   		-35.40   -20.21   -42.06   		2.73
-20.14   5.71     -41.42   		-22.94   5.49     -43.80   		3.69
-33.09   4.72     -15.43   		-33.17   4.88     -15.21   		0.28
-3.29    14.36    62.00    		-4.82    13.02    61.19    		2.19
