200,pa4-F-Output.txt
-1.39    -0.10    -26.34   		-6.76    0.50     -25.25   		5.51
-16.46   8.37     -38.60   		-20.09   7.00     -35.41   		5.02
2.63     19.71    45.52    		2.62     14.16    42.38    		6.37
9.14     24.87    15.44    		8.16     20.95    10.37    		6.48
-26.64   -30.88   -34.21   		-30.97   -35.60   -35.01   		6.45
9.04     10.92    -12.01   		7.20     13.28    -12.50   		3.03
-16.72   -29.69   -16.31   		-13.20   -30.86   -17.31   		3.84
-8.46    14.55    39.57    		-8.33    14.28    38.69    		0.93
-6.99    4.77     49.94    		-8.10    4.54     49.34    		1.27
-5.81    -4.06    32.51    		-9.95    -7.80    34.53    		5.94
-13.95   3.65     2.24     		-12.95   3.04     1.93     		1.22
-8.70    -22.64   -11.62   		-6.85    -23.45   -12.20   		2.10
-39.98   -20.27   -32.72   		-41.79   -27.09   -33.29   		7.08
-43.24   -15.35   -25.33   		-45.81   -15.86   -30.76   		6.03
30.01    -6.99    -24.00   		27.35    -7.19    -28.16   		4.94
-5.01    13.97    49.01    		-5.56    11.49    47.70    		2.86
-3.96    9.23     -8.48    		-2.25    5.92     -8.97    		3.76
-34.87   -9.27    -7.86    		-35.21   -8.08    -11.18   		3.54
-10.28   -29.35   -30.81   		-12.06   -33.77   -30.24   		4.80
-30.38   -4.14    -46.00   		-30.43   -3.71    -46.68   		0.80
-12.21   10.78    30.39    		-18.22   8.12     28.57    		6.82
-5.87    -3.86    32.75    		-9.12    -3.46    31.63    		3.46
5.44     8.92     -14.15   		3.59     5.23     -13.36   		4.20
17.35    -5.92    -22.66   		18.12    -8.36    -26.51   		4.62
12.88    26.63    -3.49    		15.72    22.53    -2.63    		5.07
13.11    -11.74   -18.85   		16.54    -16.60   -22.70   		7.08
-5.83    -23.04   -37.30   		-5.94    -24.11   -36.88   		1.15
-2.84    -18.16   -38.09   		-4.85    -19.15   -38.00   		2.24
0.31     -6.65    55.63    		-3.74    -12.69   54.08    		7.44
-0.66    -0.92    -26.31   		-3.74    -3.68    -26.39   		4.13
-0.26    14.97    1.29     		0.25     14.32    1.69     		0.93
-32.68   -27.24   -16.70   		-35.96   -31.46   -18.10   		5.53
-1.19    -12.74   -36.17   		-5.39    -12.30   -34.33   		4.60
-35.92   1.38     -39.05   		-38.33   1.11     -38.32   		2.53
-5.34    -2.70    39.26    		-9.14    -2.68    38.34    		3.90
-30.57   -22.27   -9.21    		-32.69   -21.59   -9.02    		2.24
-3.56    -3.11    -37.22   		-6.90    -9.15    -37.23   		6.90
-1.72    -10.56   14.73    		-1.50    -14.67   19.14    		6.03
17.99    -17.11   -5.60    		18.56    -18.69   -5.55    		1.68
-39.98   -20.27   -32.72   		-42.02   -28.02   -34.29   		8.16
-30.96   9.67     -23.05   		-30.60   7.23     -26.89   		4.56
16.81    -7.94    13.40    		15.24    -12.63   11.83    		5.19
21.30    -3.19    34.05    		20.02    -6.45    32.22    		3.95
31.97    -7.16    -21.09   		32.10    -7.26    -21.13   		0.17
-2.51    -22.40   -33.60   		-3.86    -22.40   -33.46   		1.36
3.72     -17.14   -9.58    		5.00     -20.77   -8.98    		3.90
8.28     22.72    29.38    		12.11    17.83    30.64    		6.34
32.82    3.13     15.00    		29.42    3.11     12.58    		4.17
-37.41   -22.49   -16.42   		-39.45   -24.69   -13.80   		3.98
39.65    5.75     6.27     		34.70    7.09     1.91     		6.74
23.78    24.59    -9.73    		23.74    18.18    -10.87   		6.51
-6.13    10.39    58.42    		-5.57    8.96     57.45    		1.81
20.85    -1.98    -24.26   		19.59    -1.47    -30.56   		6.44
-1.72    -10.56   14.73    		-0.62    -14.57   17.65    		5.08
1.36     -16.22   -26.50   		-0.30    -16.70   -27.47   		1.98
2.26     -16.93   -23.61   		2.13     -19.26   -22.76   		2.48
-12.55   16.93    35.99    		-10.39   15.50    35.91    		2.59
24.78    -2.40    25.20    		25.32    -2.87    24.89    		0.78
2.30     21.27    6.17     		1.60     19.09    5.18     		2.50
5.20     22.84    28.59    		4.22     16.84    27.41    		6.20
26.99    -11.71   -3.79    		27.76    -13.41   -3.86    		1.88
18.82    -10.70   4.48     		20.02    -12.95   5.54     		2.76
-14.54   16.55    18.31    		-16.29   12.03    16.78    		5.08
-34.42   -16.44   -44.50   		-34.42   -21.41   -48.02   		6.10
-8.20    8.31     -0.88    		-7.68    6.12     -1.54    		2.35
-30.96   9.67     -23.05   		-30.49   7.17     -26.02   		3.91
7.65     -7.18    26.96    		6.98     -13.13   22.80    		7.30
2.63     19.71    45.52    		4.69     14.28    43.28    		6.22
-29.64   -29.28   -35.16   		-35.17   -33.42   -34.67   		6.93
-6.46    9.93     1.25     		-5.75    7.38     0.87     		2.68
-1.67    -5.68    57.64    		-5.94    -9.81    55.41    		6.35
-12.42   -31.04   -27.61   		-11.78   -32.92   -27.87   		2.00
20.57    13.51    54.18    		16.81    11.52    49.97    		5.98
-7.43    -28.24   -26.91   		-7.55    -28.95   -30.62   		3.78
-27.42   -30.85   -19.13   		-27.98   -35.17   -18.95   		4.36
35.88    -0.60    -18.48   		32.12    0.50     -20.17   		4.27
-2.60    -5.15    46.41    		-3.05    -10.27   47.98    		5.38
2.29     9.60     63.35    		2.34     7.53     61.83    		2.57
-40.99   -8.03    -33.14   		-44.81   -8.90    -37.45   		5.82
