200,pa4-G-Output.txt
-30.84   1.38     -12.93   		-32.73   1.42     -13.43   		1.96
-41.10   -0.98    -18.63   		-42.65   -3.56    -16.88   		3.49
-10.32   -22.43   -42.79   		-11.27   -21.01   -43.50   		1.85
-8.19    8.32     -0.85    		-9.12    8.10     -0.66    		0.97
12.44    15.57    -24.70   		10.29    16.38    -26.96   		3.23
-6.54    9.48     48.72    		-7.96    7.68     46.12    		3.47
18.31    21.09    34.53    		18.01    18.14    35.00    		3.01
12.76    -9.33    -21.42   		17.05    -10.44   -23.96   		5.11
-20.79   -16.48   -6.11    		-23.14   -15.66   -5.78    		2.51
16.06    21.90    -29.42   		14.32    20.69    -28.94   		2.18
-31.04   -3.44    -45.28   		-31.51   -3.05    -46.10   		1.02
-40.80   -20.21   -29.97   		-42.62   -20.65   -30.51   		1.95
-14.04   20.52    20.33    		-12.13   21.53    20.96    		2.25
-8.28    3.60     28.30    		-8.41    2.34     29.57    		1.79
-7.66    4.58     32.02    		-8.10    2.14     32.44    		2.51
-1.39    -0.10    -26.34   		-2.46    -1.35    -26.12   		1.66
-12.09   -25.84   -13.36   		-12.15   -25.76   -13.41   		0.11
18.98    21.82    26.18    		18.15    20.28    25.87    		1.78
-42.85   -12.45   -19.87   		-44.80   -15.17   -20.38   		3.39
8.14     22.46    -4.98    		8.38     22.27    -5.07    		0.32
-6.21    10.06    52.14    		-6.79    10.07    50.14    		2.08
39.21    1.84     0.72     		38.59    2.13     0.68     		0.68
0.44     15.21    0.77     		1.19     14.26    1.34     		1.34
-1.38    16.50    5.60     		-0.98    17.15    5.54     		0.76
17.38    -3.23    53.71    		18.48    -4.22    53.90    		1.49
10.75    -16.58   -5.07    		10.30    -17.83   -5.05    		1.33
-37.65   -0.64    -14.82   		-39.69   -2.60    -14.18   		2.90
-6.26    24.57    29.00    		-6.15    23.45    27.68    		1.74
-5.76    -26.41   -30.48   		-6.48    -25.17   -31.76   		1.92
19.04    -10.95   -20.41   		19.11    -12.49   -22.33   		2.46
19.78    21.61    25.08    		18.74    18.92    24.30    		2.99
4.73     -7.29    34.30    		1.20     -10.01   33.09    		4.62
-6.47    9.17     55.19    		-7.65    7.70     58.06    		3.44
-4.13    1.52     -28.67   		-5.87    -1.41    -30.48   		3.86
-9.77    -11.62   2.02     		-11.13   -10.73   4.24     		2.75
9.53     -14.63   -16.55   		8.79     -16.18   -17.28   		1.86
13.20    13.57    63.07    		11.86    12.35    62.70    		1.85
4.83     22.57    30.08    		2.06     20.43    29.02    		3.66
-34.40   3.00     -14.59   		-34.20   2.68     -14.63   		0.37
12.74    16.81    -29.26   		13.02    17.40    -31.31   		2.15
12.41    -6.38    54.86    		12.97    -8.66    54.94    		2.35
-31.51   8.94     -30.84   		-31.08   8.32     -32.22   		1.58
-28.80   -3.83    -46.64   		-27.70   -4.74    -47.44   		1.64
16.82    -7.24    17.04    		17.34    -9.19    15.17    		2.75
35.38    -3.52    8.44     		35.63    -3.74    8.54     		0.35
20.10    6.97     -28.37   		16.39    6.30     -27.07   		3.98
26.67    6.01     29.26    		26.35    5.55     26.48    		2.84
1.55     23.80    24.70    		1.77     21.83    22.48    		2.98
-15.96   2.99     -43.79   		-16.42   2.15     -43.28   		1.09
-5.77    15.31    10.15    		-5.55    15.47    10.22    		0.28
18.03    -2.95    51.44    		18.84    -3.50    51.37    		0.99
35.86    -3.03    -13.36   		36.05    -3.01    -13.17   		0.28
38.32    3.05     -12.75   		37.00    1.16     -13.27   		2.36
-20.10   11.88    -24.03   		-20.18   10.95    -26.79   		2.91
