200,pa4-H-Output.txt
-40.30   -10.27   -32.67   		-42.41   -10.30   -32.74   		2.11
9.38     24.42    18.81    		5.28     19.52    18.56    		6.39
-37.24   -20.56   -14.36   		-37.05   -19.13   -14.04   		1.48
36.47    6.50     -17.35   		35.82    6.85     -18.65   		1.49
1.65     -10.72   14.97    		3.09     -13.79   17.50    		4.23
-6.44    -23.24   -37.95   		-6.21    -26.46   -41.72   		4.96
-6.15    8.99     -4.08    		-4.97    5.46     -5.72    		4.06
14.61    24.58    15.89    		15.44    19.68    16.40    		4.99
10.89    12.50    -11.33   		11.53    10.13    -13.06   		3.00
-3.05    -15.99   -39.47   		-2.62    -16.21   -42.42   		2.99
-2.51    -22.40   -33.60   		-2.27    -25.34   -37.34   		4.77
24.66    16.25    25.32    		21.25    16.19    23.48    		3.87
-6.92    -3.09    30.26    		-7.38    -0.92    31.22    		2.42
-6.34    12.58    7.43     		-2.35    12.82    6.22     		4.17
-15.00   -1.14    -46.61   		-15.33   -1.63    -46.96   		0.68
-25.85   -30.75   -34.81   		-26.88   -34.40   -36.98   		4.37
16.46    -15.37   -15.36   		18.07    -21.10   -13.50   		6.24
9.46     -14.52   1.19     		8.93     -17.19   2.28     		2.93
5.44     8.92     -14.15   		2.12     6.16     -12.79   		4.52
-6.00    -24.81   -17.70   		-3.90    -27.39   -19.50   		3.79
-7.55    7.68     -21.67   		-12.13   6.11     -23.16   		5.07
-23.34   -32.07   -20.68   		-24.26   -35.60   -21.81   		3.81
13.79    15.09    -29.40   		15.44    16.09    -32.27   		3.46
-1.44    -17.96   -8.99    		-0.76    -20.34   -7.94    		2.69
12.73    20.69    -25.45   		14.31    19.07    -25.85   		2.31
37.80    -1.22    -6.68    		37.19    -5.90    -8.36    		5.01
-38.45   -7.98    -41.25   		-38.38   -8.00    -41.18   		0.10
-18.09   -13.84   -48.77   		-19.50   -16.98   -49.72   		3.57
30.79    -9.17    -20.05   		28.74    -15.04   -21.11   		6.30
37.49    0.15     -14.79   		38.09    0.78     -15.02   		0.90
0.42     18.67    49.64    		-0.73    12.82    50.08    		5.97
-7.00    4.16     58.52    		-6.90    4.15     57.77    		0.76
-41.19   -20.36   -25.48   		-42.17   -20.75   -28.35   		3.06
29.48    21.24    -4.90    		27.90    18.87    -7.87    		4.12
-30.37   -19.65   -45.43   		-29.57   -19.00   -49.33   		4.04
1.95     -11.23   11.35    		0.76     -15.17   11.64    		4.13
-31.24   -8.10    -7.52    		-29.36   -10.09   -11.14   		4.53
8.54     -7.19    58.69    		4.96     -12.54   58.63    		6.43
-2.91    15.19    55.61    		-0.50    12.18    56.13    		3.90
38.18    0.20     -12.93   		39.14    -0.01    -13.28   		1.04
-1.15    16.17    4.48     		-0.04    14.76    4.98     		1.87
4.74     -7.50    27.90    		6.66     -11.54   34.17    		7.71
-7.04    9.96     42.68    		-6.90    8.70     42.08    		1.40
-16.47   -32.10   -24.11   		-16.42   -35.98   -25.50   		4.12
-33.38   -22.87   -12.02   		-33.05   -23.26   -12.27   		0.57
-1.29    -2.99    -28.26   		-0.57    -4.47    -28.62   		1.68
-39.17   -1.35    -36.98   		-38.31   -3.50    -37.32   		2.33
-24.74   10.30    -34.08   		-25.96   6.12     -35.48   		4.58
-20.19   -10.60   -49.52   		-21.23   -14.98   -51.45   		4.90
15.19    21.72    37.28    		15.22    17.29    34.08    		5.46
-8.18    7.81     -7.73    		-7.97    3.69     -8.68    		4.23
13.04    -15.07   0.83     		12.84    -17.17   2.09     		2.46
20.71    2.08     57.87    		20.72    -0.05    57.73    		2.13
12.88    -6.02    51.33    		10.65    -11.29   48.00    		6.62
24.97    -10.87   -22.20   		22.20    -10.52   -26.33   		4.98
-42.51   -15.73   -21.34   		-42.00   -15.61   -21.50   		0.55
23.78    2.93     40.01    		23.71    1.41     39.97    		1.52
-3.49    -22.88   -17.41   		-4.33    -26.58   -17.38   		3.79
9.46     -14.52   1.19     		7.61     -18.15   -1.37    		4.81
13.40    13.75    -24.60   		12.46    13.26    -24.45   		1.08
-37.75   -11.44   -10.71   		-37.15   -8.09    -15.22   		5.65
21.14    22.15    -26.21   		18.76    21.66    -23.63   		3.54
18.21    -8.08    -23.08   		16.29    -6.64    -24.26   		2.67
34.24    -4.73    -19.03   		33.94    -8.81    -22.65   		5.46
-31.80   -29.79   -24.07   		-30.69   -34.02   -26.26   		4.89
-20.21   1.94     -44.74   		-21.68   1.55     -44.26   		1.59
-6.33    9.46     55.21    		-4.66    8.67     55.22    		1.85
-8.29    3.39     28.09    		-8.99    2.79     28.73    		1.12
-27.27   -32.04   -23.41   		-28.58   -34.58   -23.48   		2.86
-6.61    16.09    12.17    		-5.06    16.53    12.47    		1.64
-31.99   0.48     -42.47   		-31.67   -0.10    -41.68   		1.04
-3.90    3.03     -27.21   		-5.09    1.74     -27.60   		1.79
11.79    26.11    -2.49    		13.60    23.41    0.51     		4.42
20.07    -1.18    50.75    		21.91    -0.93    48.71    		2.76
-40.31   -10.41   -32.56   		-42.34   -10.70   -32.95   		2.10
30.87    15.58    13.05    		30.76    13.76    9.22     		4.24
26.60    2.77     28.44    		26.91    3.32     26.12    		2.41
16.71    4.73     -21.78   		16.39    5.52     -22.54   		1.13
10.25    -6.97    61.87    		8.59     -12.27   58.76    		6.37
-16.02   17.58    22.39    		-15.40   16.32    22.05    		1.44
-13.22   8.43     -36.20   		-11.67   4.99     -35.70   		3.81
19.05    -6.73    16.84    		19.92    -10.60   16.69    		3.97
-3.56    -3.11    -37.22   		-3.79    -4.88    -38.57   		2.24
-13.12   -28.47   -37.42   		-12.28   -30.50   -42.65   		5.68
-39.00   -16.14   -39.50   		-38.35   -15.73   -43.05   		3.63
5.02     -8.17    24.01    		4.27     -12.85   21.73    		5.26
-36.00   1.01     -39.44   		-35.91   -1.45    -39.12   		2.48
29.57    21.36    -8.47    		27.01    19.35    -12.24   		4.98
-9.20    -16.54   -44.58   		-10.60   -18.98   -48.95   		5.20
6.73     -7.22    28.98    		10.64    -10.99   32.30    		6.37
19.97    -4.85    29.52    		17.55    -9.94    29.57    		5.63
21.62    -13.19   -2.76    		24.24    -14.55   -1.86    		3.08
18.83    -9.93    -21.24   		19.61    -10.17   -25.55   		4.39
12.97    -10.76   -19.90   		14.37    -13.69   -22.85   		4.39
-15.70   13.61    22.26    		-15.65   9.14     18.98    		5.55
1.65     -10.72   14.97    		4.11     -13.76   16.68    		4.27
23.78    24.59    -9.73    		24.93    20.31    -13.65   		5.91
-3.43    -22.90   -17.53   		-2.41    -26.15   -19.36   		3.87
-18.26   -6.79    -2.10    		-16.92   -2.88    -5.79    		5.55
-31.02   3.39     -40.71   		-30.25   1.86     -40.89   		1.72
-21.07   1.04     -9.11    		-21.20   -1.24    -14.29   		5.65
9.46     -14.52   1.19     		6.18     -17.09   1.58     		4.18
39.64    3.81     2.81     		39.59    3.64     2.91     		0.20
16.42    -5.28    40.52    		14.81    -10.24   36.65    		6.49
-20.19   -10.60   -49.52   		-20.79   -13.40   -51.72   		3.62
6.09     -16.50   -11.54   		11.33    -20.33   -12.24   		6.52
-17.69   -31.51   -33.88   		-16.92   -35.81   -34.92   		4.49
23.65    -13.56   -4.58    		25.52    -14.81   -2.90    		2.81
20.49    5.23     -28.15   		17.22    4.78     -25.88   		4.00
-15.94   15.05    24.78    		-16.06   15.10    25.37    		0.60
-9.61    12.85    13.07    		-9.77    11.81    12.62    		1.15
-6.17    0.50     52.70    		-7.27    0.06     51.64    		1.59
-30.44   8.96     -19.57   		-31.94   3.77     -22.87   		6.33
-23.32   -30.68   -35.95   		-21.63   -35.07   -37.88   		5.09
8.90     -1.08    63.38    		5.54     -4.05    61.30    		4.94
18.94    -0.55    61.12    		20.29    -2.06    58.08    		3.65
22.94    9.89     47.53    		21.29    7.93     47.88    		2.58
-12.36   4.81     9.24     		-11.11   2.81     8.33     		2.53
14.29    14.51    -29.32   		12.94    13.24    -30.23   		2.06
-9.23    -28.67   -21.78   		-11.24   -32.28   -19.56   		4.69
0.44     18.72    49.41    		-0.04    13.63    48.12    		5.28
22.30    2.35     46.66    		22.73    2.80     45.50    		1.32
33.35    8.21     -23.69   		34.06    8.18     -22.76   		1.18
-20.19   -10.60   -49.52   		-22.43   -14.39   -51.82   		4.97
12.47    -17.12   -7.29    		15.09    -21.40   -10.67   		6.06
-42.74   -15.47   -21.90   		-42.24   -15.25   -22.20   		0.63
-3.85    14.50    55.39    		-2.06    11.15    54.11    		4.01
34.16    15.26    8.13     		31.79    14.40    6.64     		2.93
-11.01   -1.38    13.74    		-11.59   -1.72    13.46    		0.73
31.21    -8.24    -0.88    		33.45    -9.82    -3.92    		4.09
-23.70   5.74     -41.67   		-23.17   3.09     -42.78   		2.92
2.05     -11.26   11.28    		1.24     -15.15   12.12    		4.06
-34.43   -5.04    -44.10   		-33.92   -4.62    -44.52   		0.78
36.39    5.85     10.50    		34.41    7.78     9.25     		3.04
9.09     -8.77    -22.81   		9.06     -12.81   -25.04   		4.62
12.57    17.18    -19.53   		12.45    16.98    -20.71   		1.20
38.34    -0.69    6.01     		39.10    -1.92    5.27     		1.63
30.78    20.41    -0.79    		30.43    16.83    -3.05    		4.24
-13.07   -28.84   -36.66   		-11.64   -32.76   -38.64   		4.62
-6.97    6.74     45.91    		-6.72    5.99     45.16    		1.09
5.79     -11.76   -22.53   		4.99     -14.02   -26.93   		5.01
-1.99    -19.28   -11.62   		0.04     -22.47   -12.70   		3.93
-8.88    8.71     -22.21   		-14.40   6.94     -24.06   		6.09
-37.94   -24.01   -31.56   		-38.74   -26.73   -31.73   		2.84
-3.05    -15.99   -39.47   		-1.66    -18.66   -41.02   		3.39
13.71    -14.70   -15.43   		12.58    -19.33   -15.47   		4.77
-13.69   7.98     -38.12   		-12.96   5.47     -36.02   		3.36
36.34    3.35     10.74    		35.72    2.92     9.26     		1.66
39.38    2.67     5.91     		39.49    2.65     4.81     		1.11
28.13    -3.12    -26.74   		29.90    -5.07    -28.99   		3.46
34.39    15.17    7.81     		31.23    15.34    5.46     		3.95
-29.96   -16.39   -47.11   		-30.11   -17.29   -49.26   		2.33
-8.32    2.72     27.43    		-8.15    0.85     29.30    		2.66
-5.68    -24.55   -17.68   		-3.64    -27.06   -19.20   		3.57
-37.65   -0.64    -14.82   		-36.90   -3.90    -17.81   		4.49
-9.20    -16.54   -44.58   		-11.16   -17.47   -49.55   		5.42
-24.74   10.30    -34.08   		-24.70   6.58     -34.96   		3.82
-7.19    7.72     40.81    		-7.29    7.72     40.82    		0.10
-22.80   3.76     -43.59   		-24.22   1.97     -43.51   		2.28
