200,pa4-J-Output.txt
1.54     22.63    10.94    		1.53     24.85    10.11    		2.37
8.01     20.77    51.78    		7.55     22.12    51.60    		1.44
-4.73    -9.87    11.35    		-4.71    -9.81    11.34    		0.07
-3.43    -22.90   -17.53   		-5.88    -22.65   -19.67   		3.26
-3.04    15.42    54.12    		-5.74    15.80    52.65    		3.10
28.87    -7.15    8.28     		28.94    -7.13    6.21     		2.07
-41.40   -19.40   -22.85   		-42.97   -21.48   -23.77   		2.75
16.76    -6.32    23.87    		12.97    -5.75    22.71    		4.01
-3.26    20.18    39.96    		-3.91    20.64    40.23    		0.83
-7.07    6.29     60.97    		-8.34    5.28     60.22    		1.79
-6.63    11.82    6.33     		-7.11    13.46    5.34     		1.97
-9.66    1.20     -41.99   		-13.49   -0.22    -43.45   		4.34
12.92    -11.86   -18.81   		12.73    -11.68   -19.21   		0.48
24.16    -1.86    28.88    		23.37    -1.56    24.68    		4.28
29.05    -0.33    19.10    		27.21    0.31     17.50    		2.52
-23.78   -9.69    -49.93   		-24.08   -9.00    -48.57   		1.56
-0.30    -19.62   -29.42   		-3.05    -18.53   -31.35   		3.53
27.21    9.40     26.29    		26.21    8.65     22.46    		4.03
-3.49    -25.51   -25.60   		-3.88    -21.45   -27.71   		4.59
-30.86   -28.28   -16.97   		-31.21   -28.77   -17.46   		0.78
-29.84   -22.10   -8.78    		-29.61   -23.58   -8.59    		1.51
-17.17   -26.57   -11.79   		-17.19   -25.97   -12.09   		0.66
-11.91   -22.82   -10.67   		-12.84   -24.44   -12.90   		2.91
-19.75   5.82     -41.39   		-19.54   5.25     -42.36   		1.14
-33.02   5.32     -37.02   		-33.40   5.62     -38.49   		1.54
-14.21   -20.84   -8.70    		-13.96   -20.94   -9.21    		0.57
8.98     -7.03    26.53    		10.09    -5.50    26.56    		1.89
-6.69    -20.04   -10.06   		-7.67    -20.82   -11.63   		2.00
-38.26   -8.91    -11.01   		-41.43   -7.60    -11.90   		3.55
-28.24   10.82    -23.56   		-26.38   11.93    -22.18   		2.56
-12.10   14.05    34.96    		-12.27   13.95    35.12    		0.26
-9.59    7.99     -26.92   		-13.10   8.35     -28.82   		4.01
18.69    15.68    58.22    		18.46    15.73    57.32    		0.94
-4.93    -3.93    37.48    		-8.18    -2.32    35.61    		4.09
22.52    5.70     50.25    		20.44    4.83     47.22    		3.77
-27.11   -1.88    -46.52   		-26.96   -3.96    -47.62   		2.35
5.79     -11.76   -22.53   		2.65     -12.29   -22.82   		3.20
-3.72    -2.86    -34.68   		-6.42    -3.59    -36.02   		3.10
-23.62   10.96    -19.16   		-24.94   12.10    -20.74   		2.35
-11.41   10.56    31.71    		-11.21   10.78    31.62    		0.32
5.09     -5.06    63.42    		5.07     -5.40    62.97    		0.56
-40.09   1.65     -27.66   		-41.71   3.36     -26.95   		2.46
31.38    9.59     16.52    		30.51    7.94     13.22    		3.79
7.48     25.29    9.97     		7.04     26.87    10.04    		1.64
22.19    5.16     -29.75   		20.94    1.17     -29.04   		4.23
-17.84   -10.17   -2.47    		-17.91   -12.77   -2.95    		2.65
-38.41   -13.00   -11.95   		-42.77   -12.97   -14.09   		4.85
1.80     -7.14    55.55    		4.99     -5.36    55.22    		3.67
24.07    -10.23   0.81     		26.24    -8.76    0.37     		2.66
-2.20    -23.35   -24.86   		-1.93    -19.65   -24.74   		3.72
12.70    23.17    27.08    		12.45    23.61    25.79    		1.39
-2.35    -5.40    61.33    		-4.02    -4.15    61.29    		2.09
-5.60    -26.26   -30.43   		-6.77    -23.74   -33.90   		4.44
16.36    -4.21    54.45    		12.91    -4.36    55.97    		3.77
-30.96   9.67     -23.05   		-33.72   8.68     -22.91   		2.93
5.10     -12.31   6.04     		4.97     -12.22   6.03     		0.16
-12.69   4.28     9.95     		-15.04   0.78     11.01    		4.34
-40.14   -10.81   -32.84   		-42.75   -11.38   -33.59   		2.78
4.80     22.55    30.20    		1.35     24.38    30.55    		3.92
20.43    -8.18    9.68     		20.05    -7.26    6.52     		3.31
-16.47   16.53    21.77    		-17.73   13.77    21.90    		3.04
12.66    -1.08    63.02    		10.69    -2.45    61.69    		2.74
-39.90   -21.09   -19.29   		-41.88   -21.70   -20.01   		2.19
-23.75   -29.01   -14.50   		-23.77   -29.33   -14.28   		0.39
0.89     17.70    4.16     		0.40     17.92    0.74     		3.46
-23.67   -11.83   -49.03   		-23.80   -12.10   -49.64   		0.68
-32.94   -26.23   -15.79   		-33.59   -26.90   -15.23   		1.09
-12.34   -21.27   -9.52    		-12.34   -21.27   -9.52    		0.01
16.89    25.21    -16.51   		14.63    25.91    -16.67   		2.37
