150, pa5-C-Output.txt 6
249.1490	246.0141	381.3052	-85.3718	239.5341	-503.2382	
38.94    14.61    4.33     		11.16    2.17     37.62    		63.10
26.01    -12.66   -1.29    		11.26    2.17     33.11    		71.25
-3.52    -8.09    55.66    		11.16    2.17     37.62    		98.35
-7.77    -2.24    50.05    		11.16    2.22     37.64    		90.91
8.61     10.24    -15.21   		10.73    2.76     22.85    		53.86
-20.34   -13.95   -47.18   		1.97     -10.23   0.73     		87.20
-20.92   -21.74   -8.61    		-1.52    -3.92    -1.64    		47.84
-13.84   -9.76    -47.06   		1.61     -8.23    -2.70    		80.13
-4.35    -24.33   -20.96   		5.72     -14.73   -3.91    		51.61
-16.40   -31.10   -33.73   		1.97     -10.23   0.73     		78.91
-6.11    -6.50    31.69    		10.98    2.41     31.55    		70.02
25.00    11.50    -34.82   		11.26    2.17     33.11    		97.14
-12.48   -28.06   -37.08   		1.97     -10.23   0.73     		78.19
-31.32   -2.69    -42.22   		-8.84    -5.92    -5.80    		74.95
-9.53    0.47     26.07    		10.80    2.65     25.56    		57.59
21.15    15.06    38.54    		11.16    2.17     37.62    		59.13
40.21    3.15     -16.39   		10.73    2.76     22.85    		75.23
-34.79   -28.28   -31.41   		-26.21   -30.52   -31.53   		12.25
1.10     20.95    27.42    		10.83    2.61     26.41    		45.81
20.92    -4.37    33.01    		11.04    2.33     33.57    		61.23
26.02    -12.27   -18.85   		11.26    2.17     33.11    		87.79
-7.05    -13.54   -43.37   		10.73    2.76     22.85    		113.68
17.35    11.97    63.41    		11.16    2.17     37.62    		92.63
21.70    -0.15    43.19    		11.16    2.17     37.62    		71.03
21.17    12.91    46.72    		11.16    2.17     37.62    		69.24
30.61    20.91    -23.85   		10.73    2.76     22.85    		75.84
12.60    22.28    -17.24   		10.73    2.76     22.85    		59.25
24.96    -11.74   -18.11   		11.26    2.17     33.11    		86.05
-39.95   -12.49   -40.32   		-0.73    -11.81   -1.38    		89.32
11.48    21.29    16.11    		10.73    2.76     22.85    		30.27
20.52    -12.01   3.90     		11.26    2.17     33.11    		65.34
-0.58    13.69    1.45     		10.73    2.76     22.85    		38.02
-21.49   1.80     -14.65   		10.73    2.76     22.85    		80.42
-37.19   -24.20   -17.88   		-0.73    -11.81   -1.38    		71.31
14.30    -7.70    46.78    		11.16    2.17     37.62    		80.94
-6.78    -6.50    31.13    		10.96    2.43     30.97    		69.60
9.49     17.62    56.83    		11.16    2.17     37.62    		83.50
18.41    -7.47    28.38    		10.91    2.51     28.99    		56.24
2.28     -9.73    49.48    		11.16    2.17     37.62    		89.42
36.84    12.03    -20.80   		10.73    2.76     22.85    		75.49
-11.87   16.74    18.35    		10.73    2.91     23.27    		50.55
20.61    -4.64    34.70    		11.09    2.26     35.25    		64.32
22.40    -10.51   5.60     		11.26    2.17     33.11    		63.14
-18.30   -19.84   -7.36    		-1.52    -3.92    -1.64    		42.01
-24.48   -33.02   -27.40   		1.97     -10.23   0.73     		79.82
21.64    -1.50    -24.09   		11.26    2.17     33.11    		84.88
25.93    12.16    -34.69   		11.26    2.17     33.11    		97.15
29.38    21.58    -19.68   		10.73    2.76     22.85    		69.34
-27.14   -27.49   -40.43   		1.97     -10.23   0.73     		90.98
0.41     -9.47    27.84    		10.88    2.55     28.02    		61.39
8.20     -7.64    -25.14   		11.26    2.17     33.11    		90.80
26.98    20.90    -23.43   		10.73    2.76     22.85    		72.79
-17.04   -4.25    2.87     		10.73    2.76     22.85    		64.98
21.86    -8.13    17.42    		10.73    2.76     22.85    		47.04
-1.88    -8.25    61.96    		11.16    2.17     37.62    		105.27
42.00    -0.66    8.05     		10.73    2.76     22.85    		61.91
17.97    -8.80    17.00    		10.73    2.76     22.85    		45.83
-30.27   -0.52    -41.20   		-2.36    -1.95    -1.54    		83.88
0.56     14.75    1.13     		10.73    2.76     22.85    		37.38
-6.20    -6.01    43.45    		11.16    2.17     37.62    		85.67
-8.87    -5.04    18.29    		10.73    2.76     22.85    		54.14
-7.35    -16.24   -5.04    		10.73    2.76     22.85    		71.02
-28.52   -10.54   -10.01   		10.73    2.76     22.85    		92.59
-27.61   -12.37   -9.45    		-2.35    -1.98    -1.54    		49.69
24.01    -15.01   -15.11   		11.26    2.17     33.11    		85.69
-28.39   -14.78   -8.18    		-1.62    -3.68    -1.62    		51.19
-12.16   17.93    20.37    		10.75    3.71     25.43    		53.81
-1.54    -15.91   -5.27    		11.26    2.17     33.11    		81.53
-39.51   -20.35   -36.93   		-0.73    -11.81   -1.38    		88.03
-0.98    5.35     -20.96   		10.73    2.76     22.85    		67.42
1.79     2.24     -25.28   		10.73    2.76     22.85    		73.61
25.36    3.43     32.89    		11.26    2.17     33.11    		56.15
7.21     -9.30    -24.84   		11.26    2.17     33.11    		91.96
-38.62   -1.90    -34.22   		-2.36    -1.95    -1.54    		84.60
-40.57   -3.20    -19.88   		10.73    2.76     22.85    		112.75
44.38    4.41     -4.56    		10.73    2.76     22.85    		68.91
-31.63   -29.55   -30.62   		-26.17   -30.45   -31.04   		8.13
-27.34   -27.53   -12.75   		-9.62    -10.40   -12.50   		40.95
1.14     -9.83    28.18    		10.89    2.54     28.38    		61.95
1.96     -9.83    48.36    		11.16    2.17     37.62    		88.46
-28.44   5.14     -34.79   		10.73    2.76     22.85    		110.87
42.05    6.28     6.83     		10.73    2.76     22.85    		59.06
-4.24    -23.76   -18.38   		11.26    2.17     33.11    		103.73
-10.55   -8.21    13.40    		10.73    2.76     22.85    		58.30
7.46     -8.45    62.42    		11.16    2.17     37.62    		102.20
16.63    -6.11    -22.85   		11.26    2.17     33.11    		85.66
32.74    8.93     -31.06   		10.73    2.76     22.85    		86.67
-22.32   -32.85   -23.95   		-0.73    -11.81   -1.38    		68.38
-2.44    -8.18    54.95    		11.16    2.17     37.62    		96.92
-5.25    -7.70    40.84    		11.16    2.17     37.62    		84.00
31.59    -5.71    18.19    		10.73    2.76     22.85    		53.07
30.78    -10.61   4.00     		10.73    2.76     22.85    		58.37
16.21    24.69    -13.80   		10.73    2.76     22.85    		56.16
34.78    13.58    11.31    		11.26    2.17     33.11    		51.92
14.79    -1.95    -23.28   		11.26    2.17     33.11    		83.36
-30.95   -30.29   -21.98   		-0.73    -11.81   -1.38    		72.00
-30.18   3.94     -36.46   		10.73    2.76     22.85    		115.13
44.59    3.72     -5.46    		10.73    2.76     22.85    		70.12
16.22    11.59    -17.47   		10.73    2.76     22.85    		57.37
14.86    4.47     61.80    		11.16    2.17     37.62    		92.46
7.72     -9.72    61.39    		11.16    2.17     37.62    		101.74
13.51    -12.37   -19.97   		11.26    2.17     33.11    		87.41
13.80    10.62    63.03    		11.16    2.17     37.62    		92.48
13.49    24.25    6.25     		10.73    2.76     22.85    		34.13
18.71    -9.83    -21.05   		11.26    2.17     33.11    		86.52
13.88    16.55    -16.78   		10.73    2.76     22.85    		56.45
40.96    11.50    -0.89    		10.73    2.76     22.85    		60.16
-13.43   -23.14   -11.36   		-1.52    -3.92    -1.64    		43.79
-33.49   -6.10    -10.10   		10.73    2.76     22.85    		96.57
-37.95   -2.52    -36.64   		-8.84    -5.92    -5.80    		75.08
15.28    -7.30    36.33    		11.16    2.17     37.62    		70.28
-0.65    -8.07    62.45    		11.16    2.17     37.62    		105.15
-19.65   -4.40    -6.80    		10.73    2.76     22.85    		74.36
-10.56   -26.14   -16.07   		-1.52    -3.92    -1.64    		49.74
16.39    12.53    63.46    		11.16    2.17     37.62    		92.63
8.05     -9.78    19.70    		11.26    2.17     33.11    		60.47
-36.77   2.66     -22.96   		10.73    2.76     22.85    		108.35
18.45    -14.76   -16.47   		11.26    2.17     33.11    		85.80
27.66    -3.43    -24.65   		11.26    2.17     33.11    		88.75
1.46     17.55    41.88    		11.16    2.17     37.62    		67.98
-6.31    -23.14   -37.06   		5.72     -14.73   -3.91    		70.16
32.07    20.74    -2.43    		10.73    2.76     22.85    		51.64
-8.39    -15.39   -3.54    		10.73    2.76     22.85    		69.85
-42.38   -14.41   -22.58   		-0.73    -11.81   -1.38    		75.88
16.57    -4.79    54.15    		11.16    2.17     37.62    		87.21
-17.86   3.57     -15.44   		10.73    2.76     22.85    		76.19
