150, pa5-D-Output.txt 6
13.1814	-24.1126	64.5128	-2.8821	-12.1194	-24.3465	
-34.51   -26.80   -37.72   		-32.94   -26.88   -37.63   		19.13
23.67    17.51    -22.18   		-6.98    10.63    3.75     		65.75
3.02     20.28    9.91     		9.95     24.56    18.11    		33.92
26.02    -2.76    -29.30   		-6.98    10.63    3.75     		72.43
5.27     8.94     -15.40   		-6.98    10.63    3.75     		39.74
-38.56   -1.37    -25.39   		-20.71   -21.51   -7.05    		52.79
-6.64    18.12    37.21    		10.39    24.00    21.50    		57.15
4.57     21.87    34.91    		23.74    16.31    26.95    		40.01
-20.87   -1.78    -48.41   		-31.53   -28.63   -17.02   		60.74
35.71    -4.78    -3.12    		9.85     24.88    15.54    		63.24
32.82    -11.23   -6.30    		-6.98    10.63    3.75     		63.49
-10.82   19.04    36.45    		10.39    24.00    21.50    		62.20
-14.25   2.63     -12.34   		-17.13   -7.23    0.85     		31.60
-1.21    -22.86   -36.02   		-17.06   -23.32   -9.64    		47.29
15.98    -1.93    64.83    		17.59    20.18    38.85    		89.31
12.01    21.27    38.67    		23.74    16.31    26.95    		36.10
16.32    -6.47    41.90    		10.39    24.00    21.50    		62.01
34.74    -7.87    4.62     		13.78    24.61    17.30    		60.40
16.03    -10.38   8.80     		-6.98    10.63    3.75     		40.50
-6.28    -32.71   -35.44   		-24.17   -30.55   -16.65   		43.08
-13.03   -8.39    -51.25   		-31.49   -28.66   -17.02   		60.77
-26.34   5.97     -30.90   		-21.65   -11.62   -3.90    		55.65
-2.36    -0.79    37.73    		10.39    24.00    21.50    		62.16
-32.84   -29.05   -28.27   		-29.45   -30.96   -33.16   		8.27
-22.69   4.92     -19.32   		-18.36   -10.28   -1.61    		42.76
33.62    -6.59    19.17    		13.78    24.61    17.30    		52.56
-23.43   -8.72    -50.70   		-28.82   -30.86   -19.71   		54.28
-36.78   -3.88    -24.10   		-20.71   -21.51   -7.05    		47.83
-9.31    -28.95   -22.13   		-17.06   -23.32   -9.64    		31.40
35.86    5.08     -9.70    		13.78    24.61    17.30    		63.43
-24.53   -29.56   -19.12   		-24.17   -30.55   -16.65   		21.39
23.06    14.74    33.54    		23.74    16.31    26.95    		27.01
-1.73    -13.85   -43.33   		-17.06   -23.32   -9.64    		55.75
-1.69    -13.29   -41.52   		-17.06   -23.32   -9.64    		53.30
29.91    0.62     -25.80   		-10.15   9.76     6.63     		73.14
-7.62    2.00     -26.89   		-18.36   -10.28   -1.61    		41.53
25.00    -15.89   -8.76    		-6.98    10.63    3.75     		58.17
4.00     -15.36   9.09     		-9.16    8.88     3.77     		39.37
-15.98   -13.79   -51.71   		-24.17   -30.55   -16.65   		55.78
-13.15   -11.47   -1.07    		-9.53    -12.87   1.25     		24.58
19.36    -7.84    29.83    		10.39    24.00    21.50    		52.87
38.48    0.00     15.29    		13.78    24.61    17.30    		49.38
36.34    4.84     -10.28   		13.78    24.61    17.30    		64.74
-34.86   -18.62   -47.53   		-27.67   -29.74   -36.19   		37.86
-5.22    -5.20    22.60    		-10.15   9.76     6.63     		47.64
-6.59    -28.10   -40.46   		-24.17   -30.55   -16.65   		45.46
27.14    13.26    19.66    		21.85    20.52    25.51    		19.76
-9.76    -28.73   -22.09   		-17.06   -23.32   -9.64    		30.80
-18.56   -22.54   -11.56   		-17.36   -23.17   -9.43    		21.87
16.32    4.53     61.40    		17.59    20.18    38.85    		79.01
10.96    -5.07    -21.36   		-17.30   -6.93    0.64     		46.04
-9.24    17.96    33.99    		10.39    24.00    21.50    		57.91
-24.45   -30.04   -18.42   		-24.17   -30.55   -16.65   		22.25
30.47    -11.62   -1.01    		-6.98    10.63    3.75     		58.79
35.83    6.80     -6.70    		13.78    24.61    17.30    		58.38
-7.97    -4.75    15.51    		-10.15   9.76     6.63     		40.89
15.13    -3.63    -22.38   		-8.57    8.20     0.76     		51.59
-33.92   -17.15   -46.89   		-27.67   -29.74   -36.19   		38.35
6.14     15.48    -7.25    		-6.98    10.63    3.75     		36.11
-32.47   2.50     -17.43   		-21.65   -11.62   -3.90    		49.26
-41.00   -8.91    -35.39   		-32.15   -30.18   -23.06   		43.58
-36.48   -13.94   -12.70   		-20.71   -21.51   -7.05    		40.78
-1.28    -1.14    -25.10   		-18.36   -10.28   -1.61    		39.62
-8.12    -11.73   3.64     		-13.11   -9.91    2.59     		28.60
35.94    -7.69    8.53     		13.78    24.61    17.30    		58.81
16.48    21.32    28.35    		20.27    21.52    26.50    		16.83
7.32     23.70    16.65    		9.95     24.56    18.11    		27.41
-27.71   0.07     -43.60   		-33.72   -27.29   -16.61   		58.48
6.82     22.45    24.17    		13.78    24.61    17.30    		27.13
21.47    16.77    30.63    		21.42    20.15    28.71    		20.69
-12.84   1.72     -0.00    		-9.94    -11.79   2.91     		28.70
-2.68    -2.90    -33.23   		-18.36   -10.28   -1.61    		48.45
28.49    -11.23   9.35     		-4.06    11.57    1.75     		55.16
-22.10   -12.49   -51.51   		-32.15   -30.18   -23.06   		51.16
19.47    14.67    59.85    		17.59    20.18    38.85    		69.31
-40.89   -17.15   -25.24   		-32.15   -30.18   -23.06   		31.87
-39.77   -4.24    -30.15   		-28.01   -28.34   -13.28   		49.90
7.18     -12.73   -22.32   		-13.11   -9.91    2.59     		42.74
-15.62   -26.57   -47.15   		-32.15   -30.18   -23.06   		41.11
11.82    -16.20   -0.28    		-7.35    9.11     1.03     		40.58
21.36    12.76    47.94    		15.71    23.30    34.04    		51.07
5.30     8.87     -14.75   		-6.98    10.63    3.75     		38.85
-31.24   -27.60   -39.34   		-27.90   -30.93   -34.50   		17.48
-2.18    10.74    1.95     		-4.06    11.57    1.75     		25.24
26.70    14.64    18.15    		21.85    20.52    25.51    		18.47
-13.48   -32.01   -20.11   		-24.17   -30.55   -16.65   		29.20
-16.22   -10.64   -5.05    		-9.48    -14.56   -0.93    		22.81
-19.32   -33.81   -29.69   		-28.82   -30.86   -19.71   		23.61
0.56     -6.14    53.81    		10.39    24.00    21.50    		82.75
-16.97   -30.10   -16.56   		-17.06   -23.32   -9.64    		28.68
-25.71   -20.79   -49.01   		-26.64   -29.99   -36.30   		38.91
-6.07    -12.60   6.81     		-13.11   -9.91    2.59     		32.74
-20.71   -13.82   -8.62    		-14.05   -16.70   -5.18    		22.16
-39.48   -26.84   -32.66   		-27.90   -30.93   -34.50   		18.37
39.32    -2.05    5.04     		13.78    24.61    17.30    		57.43
-5.44    7.83     -0.94    		-7.02    9.35     1.10     		26.07
-27.59   -31.49   -32.71   		-28.61   -30.94   -33.88   		9.36
28.13    11.59    23.49    		26.39    15.12    23.43    		25.39
-38.11   -26.23   -34.52   		-27.90   -30.93   -34.50   		17.86
-6.28    6.45     -7.47    		-8.57    8.20     0.76     		28.98
-40.49   -8.74    -34.71   		-32.15   -30.18   -23.06   		43.08
-5.19    3.72     -25.87   		-18.36   -10.28   -1.61    		42.56
-5.67    7.36     -1.25    		-7.43    9.05     1.01     		26.00
-29.87   -11.76   -47.53   		-32.15   -30.18   -23.06   		45.51
17.92    20.58    21.39    		18.78    22.88    21.49    		7.52
0.86     5.17     -13.68   		-8.57    8.20     0.76     		32.77
12.91    -18.97   -9.34    		-17.13   -7.23    0.85     		46.43
-4.93    -0.41    -35.08   		-18.36   -10.28   -1.61    		51.53
-7.94    4.30     -28.52   		-18.36   -10.28   -1.61    		45.55
-19.97   0.39     -17.32   		-9.48    -14.56   -0.93    		34.09
34.91    0.79     -14.55   		-6.98    10.63    3.75     		67.14
-38.22   -5.69    -37.55   		-29.18   -29.90   -18.75   		48.18
19.62    -9.48    21.23    		11.76    24.25    19.81    		51.28
-21.35   -13.79   -8.08    		-14.05   -16.70   -5.18    		23.18
1.81     20.07    51.29    		15.71    23.30    34.04    		65.31
2.48     5.11     -12.09   		-8.57    8.20     0.76     		31.02
16.14    -4.07    57.59    		28.78    13.00    20.06    		79.77
-30.54   -29.74   -23.09   		-31.61   -30.67   -29.51   		13.33
5.64     14.80    -11.06   		-6.98    10.63    3.75     		38.84
-40.00   -4.75    -27.63   		-33.72   -27.29   -16.61   		48.94
-0.58    -5.32    45.73    		10.39    24.00    21.50    		73.12
24.73    7.84     35.00    		26.75    12.41    27.00    		39.35
2.59     -21.38   -18.52   		-6.31    -16.96   -3.78    		37.78
-2.11    -1.81    28.61    		-5.03    11.99    4.28     		49.87
-0.72    2.63     45.15    		10.39    24.00    21.50    		65.70
-38.32   -7.04    -37.49   		-29.18   -29.90   -18.75   		46.54
20.33    3.34     60.14    		17.59    20.18    38.85    		77.19
8.31     -2.82    -19.57   		-13.11   -9.91    2.59     		40.43
24.59    17.31    19.20    		22.47    21.51    21.38    		10.29
20.61    15.37    52.90    		17.59    20.18    38.85    		58.61
17.57    -10.50   17.45    		-4.29    12.51    4.49     		46.18
-0.23    13.39    -1.17    		-6.98    10.63    3.75     		29.87
-2.00    0.87     45.02    		10.39    24.00    21.50    		68.03
24.43    20.38    -0.55    		13.78    24.61    17.30    		37.32
1.68     17.72    8.92     		0.20     20.43    7.89     		31.82
3.28     -0.97    -20.69   		-14.09   -9.97    1.80     		37.49
-33.58   -5.73    -42.55   		-29.18   -29.90   -18.75   		49.61
-13.89   5.69     -39.38   		-20.46   -12.50   -4.13    		59.79
9.69     23.24    -0.41    		13.42    24.60    17.38    		39.51
2.18     -10.80   16.14    		-10.15   9.76     6.63     		42.18
36.42    3.30     16.53    		17.83    25.00    13.95    		43.08
16.38    21.50    28.94    		20.40    21.36    26.75    		17.68
17.34    2.57     62.06    		17.59    20.18    38.85    		81.19
-25.27   0.28     -18.03   		-21.65   -11.62   -3.90    		39.37
16.15    18.92    40.38    		23.74    16.31    26.95    		36.12
-32.33   -29.04   -27.25   		-29.45   -30.96   -33.16   		9.23
30.18    8.14     15.73    		17.83    25.00    13.95    		30.80
10.43    18.56    -17.97   		-6.98    10.63    3.75     		51.90
-15.36   -6.76    -0.59    		-16.62   -7.57    1.07     		28.27
19.34    17.35    48.55    		15.71    23.30    34.04    		49.89
