400, pa5-E-Output.txt 6
-238.2411	-834.9285	999.4076	-9.7860	330.1671	-741.9128	
5.00     -13.26   -24.45   		-6.93    -4.71    34.45    		87.52
32.33    -6.38    18.43    		-6.97    -1.78    25.97    		70.20
-37.40   -6.86    -10.91   		-6.97    -1.78    25.97    		93.66
23.03    9.59     29.02    		-6.97    -1.78    25.97    		66.70
12.40    -18.11   -1.64    		-6.97    -1.78    25.97    		62.32
-44.89   -10.51   -21.89   		-8.55    -6.19    -29.83   		62.68
-5.16    13.70    48.54    		-6.93    -4.71    34.45    		94.22
-6.48    -26.97   -30.97   		-0.04    -12.80   -28.42   		52.75
26.47    -13.33   -20.24   		-6.97    -1.78    25.97    		79.29
-17.75   1.92     -5.48    		-6.97    -1.78    25.97    		62.91
15.31    -10.79   -21.27   		-6.97    -1.78    25.97    		71.86
-28.25   -22.35   -7.42    		-4.13    -5.95    -8.11    		47.98
-17.12   7.47     28.45    		-6.97    -1.78    25.97    		70.75
-35.48   -30.99   -21.13   		-9.53    -9.92    -36.34   		52.46
4.04     18.57    -7.98    		-6.97    -1.78    25.97    		54.31
-1.21    22.96    16.76    		-6.97    -1.78    25.97    		57.28
-39.87   -13.88   -12.81   		-5.69    -3.15    -11.28   		60.57
12.24    -14.18   17.84    		-6.97    -1.78    25.97    		60.32
4.74     -14.70   15.35    		-6.97    -1.78    25.97    		58.45
14.64    -5.82    56.61    		-5.49    -13.81   52.29    		122.09
-7.82    -29.08   -26.81   		-0.04    -12.80   -28.42   		50.33
28.27    10.40    -27.74   		-6.97    -1.78    25.97    		82.66
16.40    -12.20   16.90    		-6.97    -1.78    25.97    		59.68
-40.03   -0.89    -18.49   		-6.97    -1.78    25.97    		100.29
-41.35   -0.40    -29.44   		-5.69    -3.15    -11.28   		73.30
-21.68   -5.17    -45.51   		-5.69    -3.15    -11.28   		72.79
-2.79    -2.67    -23.32   		-6.97    -1.78    25.97    		69.61
-15.50   17.26    20.97    		-6.97    -1.78    25.97    		65.80
-19.04   -34.57   -20.56   		-9.50    -9.83    -36.17   		46.84
-14.67   -11.29   -45.72   		-0.04    -12.80   -28.42   		65.56
23.45    1.13     35.81    		-6.50    -5.64    34.41    		81.15
0.50     -6.21    54.80    		-6.93    -4.71    34.45    		103.24
28.69    -9.98    13.35    		-6.97    -1.78    25.97    		66.16
24.19    11.94    16.70    		-6.97    -1.78    25.97    		58.13
41.74    1.28     4.85     		-6.97    -1.78    25.97    		76.37
31.02    -7.72    17.10    		-6.97    -1.78    25.97    		68.78
-15.94   -29.83   -38.54   		-9.53    -9.92    -36.34   		54.86
-11.18   9.62     5.71     		-6.97    -1.78    25.97    		52.78
5.41     -20.95   -14.82   		-6.97    -1.78    25.97    		72.71
14.23    -0.20    -21.61   		-6.97    -1.78    25.97    		66.69
15.80    -15.10   16.08    		-6.97    -1.78    25.97    		61.72
-35.75   -0.56    -39.03   		-5.69    -3.15    -11.28   		76.69
-0.05    18.59    47.38    		-6.93    -4.71    34.45    		92.39
-38.56   -21.81   -41.74   		-9.53    -9.92    -36.34   		65.20
-4.86    -12.22   53.59    		-5.49    -13.81   52.29    		124.86
13.42    -7.94    44.98    		-5.90    -10.45   44.93    		102.00
1.67     -22.54   -24.26   		-6.97    -1.78    25.97    		83.84
-6.17    -16.32   -41.44   		-6.97    -1.78    25.97    		102.19
-21.87   5.85     -18.51   		-6.97    -1.78    25.97    		77.02
10.16    -18.86   -2.39    		-6.97    -1.78    25.97    		62.88
33.06    -4.53    19.56    		-6.97    -1.78    25.97    		70.78
36.27    3.87     12.25    		-6.97    -1.78    25.97    		69.40
-5.37    -10.17   -39.73   		-6.97    -1.78    25.97    		95.99
2.10     -10.15   39.42    		-6.15    -8.49    40.64    		92.93
-14.48   -3.90    23.20    		-6.97    -1.78    25.97    		65.58
-15.30   4.24     -0.91    		-6.97    -1.78    25.97    		57.87
-9.10    -28.23   -18.62   		-1.16    -10.93   -22.86   		41.21
20.87    20.53    -20.56   		-6.97    -1.78    25.97    		72.80
16.90    10.32    48.82    		-6.93    -4.71    34.45    		92.89
14.63    -8.00    48.06    		-5.76    -11.64   47.54    		108.41
-3.65    18.74    9.16     		-6.97    -1.78    25.97    		51.86
-11.76   -30.17   -31.58   		-9.53    -9.92    -36.34   		49.64
