150, pa5-K-Output.txt 6
-66.4734	-40.9450	-72.7122	25.7430	-1.0171	44.6061	
10.32    -12.50   -19.58   		9.78     -8.51    -21.47   		54.29
-3.71    -3.53    -32.81   		-17.95   -11.24   -2.30    		46.34
25.73    -12.77   -19.46   		-15.81   -7.41    3.20     		65.54
12.23    -9.57    13.68    		-10.47   12.11    12.33    		45.31
-3.18    -3.30    -30.20   		-17.95   -11.24   -2.30    		43.02
17.12    -3.33    49.52    		30.49    13.69    17.95    		68.70
-7.17    -27.35   -22.37   		-15.51   -23.14   -7.87    		33.47
-8.84    9.09     -18.80   		-17.70   -5.95    1.70     		42.23
23.15    11.50    38.05    		15.03    21.99    31.84    		38.80
25.69    26.54    -9.66    		11.26    25.97    17.93    		55.18
29.32    4.45     23.30    		17.39    21.40    27.77    		35.55
27.69    -5.13    17.43    		11.26    25.97    17.93    		47.41
-25.29   6.97     -32.15   		-9.64    -15.70   -5.35    		56.32
-32.77   -8.44    -6.31    		-10.74   -15.23   -3.27    		43.02
-13.46   18.79    13.67    		-9.83    12.99    11.84    		53.01
-4.70    14.28    65.49    		30.49    13.69    17.95    		92.38
-25.29   -32.51   -27.19   		-25.90   -31.08   -30.18   		11.60
-8.64    -6.77    15.55    		-9.77    11.23    4.65     		42.60
11.52    -6.29    67.83    		30.49    13.69    17.95    		97.77
23.07    -8.97    8.61     		-8.75    13.67    8.43     		49.57
42.18    5.05     -12.78   		11.26    25.97    17.93    		73.98
30.96    20.71    -26.56   		16.17    25.57    13.32    		82.41
32.09    9.27     -30.95   		-8.75    13.67    8.43     		83.34
-31.04   7.29     -14.56   		-17.69   -5.86    1.77     		55.39
-42.52   -1.93    -23.14   		-33.18   -26.02   -14.14   		55.33
-9.74    -5.99    17.67    		-9.77    11.23    4.65     		45.11
38.43    14.91    -7.16    		11.26    25.97    17.93    		59.36
-0.49    -3.23    -25.91   		-17.95   -11.24   -2.30    		39.27
-14.62   11.11    -22.01   		-17.72   -6.38    1.37     		48.73
4.70     4.07     -20.12   		-7.39    -14.87   -2.56    		40.17
12.47    21.13    35.26    		14.85    22.03    32.16    		35.33
12.16    25.25    -8.80    		15.93    25.64    13.36    		52.10
-3.98    -6.34    48.76    		7.88     25.94    22.31    		81.75
4.72     18.49    -1.19    		-1.49    20.40    7.29     		36.84
20.47    6.92     -25.06   		-8.75    13.67    8.43     		65.00
-9.84    -12.91   -40.49   		-11.12   -22.89   -11.78   		47.72
-0.22    -0.07    -24.56   		-17.95   -11.24   -2.30    		40.08
23.49    19.27    23.37    		20.76    22.36    19.79    		7.43
-32.66   -23.35   -8.31    		-25.78   -28.63   -12.77   		36.64
-28.63   -29.62   -12.27   		-25.78   -28.63   -12.77   		31.78
-39.84   -13.77   -34.36   		-25.61   -29.85   -33.73   		35.13
-0.17    -12.84   -32.47   		-9.64    -15.70   -5.35    		44.38
-17.30   -3.91    3.03     		-11.20   -13.15   0.23     		31.46
21.07    -7.21    16.88    		7.43     26.50    18.22    		49.04
-19.03   -7.02    1.60     		-11.20   -13.15   0.23     		30.95
5.78     -2.34    -22.86   		-15.45   -10.87   -0.09    		41.59
4.22     0.63     68.48    		30.49    13.69    17.95    		96.59
22.54    -5.52    -25.51   		-15.81   -7.41    3.20     		64.59
-31.95   5.64     -15.78   		-17.77   -7.41    0.60     		54.31
20.99    17.23    33.84    		15.94    21.76    30.27    		27.98
20.24    -0.37    51.66    		14.85    22.03    32.16    		67.68
-5.70    3.05     -26.18   		-17.95   -11.24   -2.30    		41.57
-9.05    -4.60    24.36    		-11.23   11.42    14.06    		56.10
-5.53    -4.72    -35.04   		-6.03    -17.92   -6.41    		47.84
7.89     -8.52    18.86    		-11.23   11.42    14.06    		48.12
-18.64   -30.22   -34.68   		-24.35   -31.04   -32.21   		23.14
21.51    20.98    24.24    		18.20    22.58    21.93    		8.24
-40.37   -21.32   -29.92   		-28.06   -29.08   -33.72   		24.53
7.40     -9.36    65.86    		30.49    13.69    17.95    		99.07
-44.18   -4.85    -28.60   		-26.93   -30.16   -17.63   		51.15
19.10    11.46    59.14    		14.85    22.03    32.16    		69.39
23.38    -9.05    5.54     		-8.75    13.67    8.43     		49.50
-6.29    -17.50   -37.63   		-15.51   -23.14   -7.87    		45.67
-24.21   11.18    -19.64   		-17.69   -5.86    1.77     		54.03
23.60    12.22    -31.34   		-8.75    13.67    8.43     		77.12
-3.12    16.63    5.21     		-2.91    18.54    6.20     		35.97
29.61    -8.88    7.31     		16.17    25.57    13.32    		56.72
-33.81   -27.88   -16.41   		-29.10   -30.30   -21.83   		24.59
-42.31   -18.30   -26.48   		-25.61   -29.85   -33.73   		31.58
-7.15    -4.47    39.71    		11.26    25.97    17.93    		72.20
16.40    -7.08    23.62    		10.31    25.96    19.16    		49.20
-39.92   -12.90   -34.25   		-25.61   -29.85   -33.73   		36.35
-29.53   -29.53   -10.87   		-25.78   -28.63   -12.77   		33.66
